date,SPY
2016-11-23,220.7
2016-11-25,221.52
2016-11-28,220.48
2016-11-29,220.91
2016-11-30,220.38
2016-12-01,219.57
2016-12-02,219.68
2016-12-05,221.0
2016-12-06,221.7
2016-12-07,224.6
2016-12-08,225.15
2016-12-09,226.51
2016-12-12,226.25
2016-12-13,227.76
2016-12-14,225.88
2016-12-15,226.81
2016-12-16,225.04
2016-12-19,225.53
2016-12-20,226.4
2016-12-21,225.77
2016-12-22,225.38
2016-12-23,225.71
2016-12-27,226.27
2016-12-28,224.4
2016-12-29,224.35
2016-12-30,223.53
2017-01-03,225.24
2017-01-04,226.58
2017-01-05,226.4
2017-01-06,227.21
2017-01-09,226.46
2017-01-10,226.46
2017-01-11,227.1
2017-01-12,226.53
2017-01-13,227.05
2017-01-17,226.25
2017-01-18,226.75
2017-01-19,225.91
2017-01-20,226.74
2017-01-23,226.15
2017-01-24,227.6
2017-01-25,229.57
2017-01-26,229.33
2017-01-27,228.97
2017-01-30,227.55
2017-01-31,227.53
2017-02-01,227.62
2017-02-02,227.77
2017-02-03,229.34
2017-02-06,228.93
2017-02-07,228.94
2017-02-08,229.24
2017-02-09,230.6
2017-02-10,231.51
2017-02-13,232.77
2017-02-14,233.7
2017-02-15,234.92
2017-02-16,234.72
2017-02-17,235.09
2017-02-21,236.49
2017-02-22,236.28
2017-02-23,236.44
2017-02-24,236.74
2017-02-27,237.11
2017-02-28,236.47
2017-03-01,239.78
2017-03-02,238.27
2017-03-03,238.42
2017-03-06,237.71
2017-03-07,237.0
2017-03-08,236.56
2017-03-09,236.86
2017-03-10,237.69
2017-03-13,237.81
2017-03-14,236.9
2017-03-15,238.95
2017-03-16,238.48
2017-03-17,237.03
2017-03-20,236.77
2017-03-21,233.73
2017-03-22,234.28
2017-03-23,234.03
2017-03-24,233.86
2017-03-27,233.62
2017-03-28,235.32
2017-03-29,235.54
2017-03-30,236.29
2017-03-31,235.74
2017-04-03,235.33
2017-04-04,235.48
2017-04-05,234.78
2017-04-06,235.44
2017-04-07,235.2
2017-04-10,235.34
2017-04-11,235.06
2017-04-12,234.03
2017-04-13,232.51
2017-04-17,234.57
2017-04-18,233.87
2017-04-19,233.44
2017-04-20,235.34
2017-04-21,234.59
2017-04-24,237.17
2017-04-25,238.55
2017-04-26,238.4
2017-04-27,238.6
2017-04-28,238.08
2017-05-01,238.68
2017-05-02,238.77
2017-05-03,238.48
2017-05-04,238.76
2017-05-05,239.7
2017-05-08,239.66
2017-05-09,239.44
2017-05-10,239.87
2017-05-11,239.38
2017-05-12,238.98
2017-05-15,240.3
2017-05-16,240.08
2017-05-17,235.82
2017-05-18,236.77
2017-05-19,238.31
2017-05-22,239.52
2017-05-23,240.05
2017-05-24,240.61
2017-05-25,241.76
2017-05-26,241.71
2017-05-30,241.5
2017-05-31,241.44
2017-06-01,243.36
2017-06-02,244.17
2017-06-05,243.99
2017-06-06,243.21
2017-06-07,243.66
2017-06-08,243.78
2017-06-09,243.41
2017-06-12,243.36
2017-06-13,244.55
2017-06-14,244.24
2017-06-15,243.77
2017-06-16,242.64
2017-06-19,244.66
2017-06-20,243.01
2017-06-21,242.95
2017-06-22,242.84
2017-06-23,243.13
2017-06-26,243.29
2017-06-27,241.33
2017-06-28,243.49
2017-06-29,241.35
2017-06-30,241.8
2017-07-03,242.21
2017-07-05,242.77
2017-07-06,240.55
2017-07-07,242.11
2017-07-10,242.37
2017-07-11,242.19
2017-07-12,244.01
2017-07-13,244.42
2017-07-14,245.56
2017-07-17,245.53
2017-07-18,245.66
2017-07-19,246.99
2017-07-20,247.1
2017-07-21,246.88
2017-07-24,246.82
2017-07-25,247.42
2017-07-26,247.43
2017-07-27,247.2
2017-07-28,246.91
2017-07-31,246.77
2017-08-01,247.32
2017-08-02,247.44
2017-08-03,246.96
2017-08-04,247.41
2017-08-07,247.87
2017-08-08,247.26
2017-08-09,247.25
2017-08-10,243.76
2017-08-11,244.12
2017-08-14,246.54
2017-08-15,246.51
2017-08-16,246.94
2017-08-17,243.09
2017-08-18,242.71
2017-08-21,242.9
2017-08-22,245.44
2017-08-23,244.56
2017-08-24,243.99
2017-08-25,244.56
2017-08-28,244.57
2017-08-29,244.85
2017-08-30,246.01
2017-08-31,247.49
2017-09-01,247.84
2017-09-05,246.06
2017-09-06,246.9
2017-09-07,246.87
2017-09-08,246.58
2017-09-11,249.21
2017-09-12,250.05
2017-09-13,250.17
2017-09-14,250.09
2017-09-15,249.19
2017-09-18,249.72
2017-09-19,249.97
2017-09-20,250.06
2017-09-21,249.39
2017-09-22,249.44
2017-09-25,248.93
2017-09-26,249.08
2017-09-27,250.05
2017-09-28,250.35
2017-09-29,251.23
2017-10-02,252.32
2017-10-03,252.86
2017-10-04,253.16
2017-10-05,254.66
2017-10-06,254.37
2017-10-09,253.95
2017-10-10,254.62
2017-10-11,255.02
2017-10-12,254.64
2017-10-13,254.95
2017-10-16,255.29
2017-10-17,255.47
2017-10-18,255.72
2017-10-19,255.79
2017-10-20,257.11
2017-10-23,256.11
2017-10-24,256.56
2017-10-25,255.29
2017-10-26,255.62
2017-10-27,257.71
2017-10-30,256.75
2017-10-31,257.15
2017-11-01,257.49
2017-11-02,257.59
2017-11-03,258.45
2017-11-06,258.85
2017-11-07,258.67
2017-11-08,259.11
2017-11-09,258.17
2017-11-10,258.09
2017-11-13,258.33
2017-11-14,257.73
2017-11-15,256.44
2017-11-16,258.62
2017-11-17,257.86
2017-11-20,258.3
2017-11-21,259.99
2017-11-22,259.76
2017-11-24,260.36
2017-11-27,260.23
2017-11-28,262.87
2017-11-29,262.71
2017-11-30,265.01
2017-12-01,264.46
2017-12-04,264.14
2017-12-05,263.19
2017-12-06,263.24
2017-12-07,264.07
2017-12-08,265.51
2017-12-11,266.31
2017-12-12,266.78
2017-12-13,266.75
2017-12-14,265.66
2017-12-15,266.51
2017-12-18,268.2
2017-12-19,267.17
2017-12-20,267.03
2017-12-21,267.58
2017-12-22,267.51
2017-12-26,267.19
2017-12-27,267.32
2017-12-28,267.87
2017-12-29,266.86
2018-01-02,268.77
2018-01-03,270.47
2018-01-04,271.61
2018-01-05,273.42
2018-01-08,273.92
2018-01-09,274.54
2018-01-10,274.12
2018-01-11,276.12
2018-01-12,277.92
2018-01-16,276.97
2018-01-17,279.61
2018-01-18,279.14
2018-01-19,280.41
2018-01-22,282.69
2018-01-23,283.29
2018-01-24,283.18
2018-01-25,283.3
2018-01-26,286.58
2018-01-29,284.68
2018-01-30,281.76
2018-01-31,281.9
2018-02-01,281.58
2018-02-02,275.45
2018-02-05,263.93
2018-02-06,269.13
2018-02-07,267.67
2018-02-08,257.63
2018-02-09,261.5
2018-02-12,265.34
2018-02-13,266.0
2018-02-14,269.59
2018-02-15,273.03
2018-02-16,273.11
2018-02-20,271.4
2018-02-21,270.05
2018-02-22,270.4
2018-02-23,274.71
2018-02-26,277.9
2018-02-27,274.43
2018-02-28,271.65
2018-03-01,267.7
2018-03-02,269.08
2018-03-05,272.19
2018-03-06,272.88
2018-03-07,272.78
2018-03-08,274.1
2018-03-09,278.87
2018-03-12,278.52
2018-03-13,276.72
2018-03-14,275.3
2018-03-15,275.0
2018-03-16,274.2
2018-03-19,270.49
2018-03-20,270.95
2018-03-21,270.43
2018-03-22,263.67
2018-03-23,258.05
2018-03-26,265.11
2018-03-27,260.6
2018-03-28,259.83
2018-03-29,263.15
2018-04-02,257.47
2018-04-03,260.77
2018-04-04,263.56
2018-04-05,265.64
2018-04-06,259.72
2018-04-09,261.0
2018-04-10,265.15
2018-04-11,263.76
2018-04-12,265.93
2018-04-13,265.15
2018-04-16,267.33
